URI,name,alternative-fr,alternative-nl,alternative-de,alternative-en,taf-tap-code,telegraph-code,country-code,longitude,latitude,avg_stop_times,official_transfer_time
http://irail.be/stations/NMBS/008842051,Chaudfontaine,,,,,BE00267,FCF,be,5.64373400,50.5869820,88.64,300
http://irail.be/stations/NMBS/008842036,Chênée,,,,,BE00266,FCH,be,5.616073,50.608019,88.64,300
http://irail.be/stations/NMBS/008864501,Ciney,,,,,BE00272,LC,be,5.091409,50.29105,93.314286,240
http://irail.be/stations/NMBS/008200134,Clervaux,,,,,,,lu,6.031393,50.054724,26.411429,300
http://irail.be/stations/NMBS/008718201,Colmar,,,,,,,fr,7.366668,48.083335,0,
http://irail.be/stations/NMBS/008842838,Comblain-la-Tour,,,,,BE00277,MCT,be,5.566956,50.456865,30.674286,300
http://irail.be/stations/NMBS/008896412,Comines,,Komen,Comines / Komen,Komen / Comines,BE00278,FOI,be,2.999286,50.772072,41.622857,300
http://irail.be/stations/NMBS/008845229,Coo,,,,,BE00992,COO,be,5.880473,50.391127,31.668571,300
http://irail.be/stations/NMBS/008874054,Couillet,,,,,BE00281,LCL,be,4.46851,50.392718,107.011429,300
http://irail.be/stations/NMBS/008873379,Cour-sur-Heure,,,,,BE00288,LUH,be,4.391491,50.300138,34.485714,300
http://irail.be/stations/NMBS/008871225,Courcelles-Motte,,,,,BE00286,LCCM,be,4.400534,50.462007,97.428571,300
http://irail.be/stations/NMBS/008864949,Courrière,,,,,BE00287,MRR,be,4.996051,50.387442,74.371429,300
http://irail.be/stations/NMBS/008811825,Court-Saint-Étienne,,,,,BE00289,LCN,be,4.565819,50.645567,32.674286,300
http://irail.be/stations/NMBS/008875127,Couvin,,,,,BE00291,LCV,be,4.491702,50.056324,32.697143,300
http://irail.be/stations/NMBS/008728105,Croix l'Allumette,,,,,,,fr,3.13381,50.675708,7.285714,300
http://irail.be/stations/NMBS/008728671,Croix Wasquehal,,,,,,,fr,3.15000000,50.6666670,8.04,300
http://irail.be/stations/NMBS/008863362,Dave-Saint-Martin,,,,,BE00313,MDT,be,4.884414,50.429098,74.371429,300
http://irail.be/stations/NMBS/008814175,De Hoek,,,,,BE00316,FHO,be,4.370717,50.738812,164.097143,300
http://irail.be/stations/NMBS/008892338,De Panne,La Panne,,,,BE00013,FDK,be,2.601963,51.0774,37.262857,300
http://irail.be/stations/NMBS/008892080,De Pinte,,,,,BE00320,FPT,be,3.650465,50.997063,157.348571,300
http://irail.be/stations/NMBS/008892106,Deinze,,,,,BE00317,FD,be,3.534432,50.978258,126.782857,300
http://irail.be/stations/NMBS/008811205,Delta,,,,,BE01761,FDEL,be,4.403869,50.818357,42.417143,300
http://irail.be/stations/NMBS/008400280,Den Haag HS,,,,,,,nl,4.299999,52.083329,0,
http://irail.be/stations/NMBS/008895802,Denderleeuw,,,,,BE00318,FDD,be,4.071825,50.891925,300.034286,240
http://irail.be/stations/NMBS/008893401,Dendermonde,Termonde,,,,BE00319,FDR,be,4.101427,51.022781,170.188571,240
http://irail.be/stations/NMBS/008811213,Diegem,,,,,BE00325,FDG,be,4.442774,50.890478,371.228571,300
http://irail.be/stations/NMBS/008831112,Diepenbeek,,,,,BE00324,GDP,be,5.419947,50.910452,61.337143,300
http://irail.be/stations/NMBS/008814464,Diesdelle/Vivier d'Oie,Vivier d'Oie,Diesdelle,,,BE00824,GDI,be,4.374052,50.796145,85.965714,240
http://irail.be/stations/NMBS/008831401,Diest,,,,,BE00326,FDT,be,5.050031,50.993341,127.114286,240
http://irail.be/stations/NMBS/008892452,Diksmuide,Dixmude,,,,BE00327,FIK,be,2.868943,51.032723,37.262857,60
http://irail.be/stations/NMBS/008812237,Dilbeek,,,,,BE00328,FKB,be,4.243393,50.866728,59.097143,300
http://irail.be/stations/NMBS/008863503,Dinant,,,,,BE00329,NDT,be,4.908182,50.260721,63.651429,240
http://irail.be/stations/NMBS/008200714,Dippach-Reckange,,,,,,,lu,5.99526700,49.5725600,50.931429,300
http://irail.be/stations/NMBS/008844545,Dolhain-Gileppe,,,,,BE00331,GDL,be,5.936494,50.616244,82.542857,300
http://irail.be/stations/NMBS/008200101,Dommeldange,,,,,,,lu,6.13668,49.633838,0,
http://irail.be/stations/NMBS/008400180,Dordrecht,,,,,,,nl,4.666668,51.799998,0,
http://irail.be/stations/NMBS/008010053,Dortmund Hbf,,,,,,,de,7.459293,51.517898,0,
http://irail.be/stations/NMBS/008200133,Drauffelt,,,,,,,lu,6.006106,50.017778,0.114286,300
http://irail.be/stations/NMBS/008892031,Drongen,Tronchiennes,,,,BE00335,FDO,be,3.655202,51.047295,188.16,300
http://irail.be/stations/NMBS/008015653,Duesseldorf Flughafen (DE),,,,,,,de,6.76705200,51.2765600,0,
http://irail.be/stations/NMBS/008008094,Duesseldorf Hbf,Düsseldorf Hbf,Düsseldorf Hbf,Düsseldorf Hbf,Dusseldorf Hbf,,,de,6.795297,51.219178,0,
http://irail.be/stations/NMBS/008822210,Duffel,,,,,BE00336,FDF,be,4.493186,51.091243,271.12,300
http://irail.be/stations/NMBS/008891652,Duinbergen,,,,,BE00337,MUI,be,3.263587,51.338195,39.451429,300
http://irail.be/stations/NMBS/008010316,Duisburg Hbf,,,,,,,de,6.7759037,51.42978,0,
http://irail.be/stations/NMBS/008039904,Düsseldorf Flughafen Hbf,,,,,,,de,6.786837,51.292008,0,
http://irail.be/stations/NMBS/007015440,Ebbsfleet International,,,,,,,gb,0.27577500,51.4511700,0,
http://irail.be/stations/NMBS/008883212,Écaussinnes,,,,,BE00342,FCS,be,4.156639,50.56239,59.44,300
http://irail.be/stations/NMBS/008895877,Ede,,,,,BE00345,MEE,be,3.987524,50.911054,110.188571,300
http://irail.be/stations/NMBS/008893708,Eeklo,,,,,BE00346,FKLO,be,3.574515,51.181333,32.245714,300
http://irail.be/stations/NMBS/008895752,Eichem,,,,,BE00347,FIC,be,3.993745,50.823994,47.245714,300
http://irail.be/stations/NMBS/008400219,Eijsden,,,,,,,nl,5.709786,50.772135,52.028571,300
http://irail.be/stations/NMBS/008892627,Eine,,,,,BE00348,FEI,be,3.623776,50.870432,37.331429,300
http://irail.be/stations/NMBS/008892650,Eke-Nazareth,,,,,BE00351,FKE,be,3.627839,50.960774,37.331429,300
http://irail.be/stations/NMBS/008821071,Ekeren,,,,,BE00352,LKR,be,4.434154,51.281626,75.022857,300
http://irail.be/stations/NMBS/008883311,Enghien,,Edingen,Enghien / Edingen,Edingen / Enghien,BE00360,FNG,be,4.047357,50.697273,138.485714,300
http://irail.be/stations/NMBS/008843240,Engis,,,,,BE00361,NG,be,5.401986,50.582957,90.977143,300
http://irail.be/stations/NMBS/008822269,Eppegem,,,,,BE00363,FPH,be,4.45749,50.9584,265.834286,300
http://irail.be/stations/NMBS/008881158,Erbisœul,Erbisoeul,Erbisoeul,Erbisoeul,Erbisoeul,BE00364,FIU,be,3.887987,50.507025,103.32,300
http://irail.be/stations/NMBS/008895091,Erembodegem,,,,,BE00365,FRMB,be,4.055447,50.919621,125.737143,300
http://irail.be/stations/NMBS/008861515,Ernage,,,,,BE00366,MNG,be,4.668538,50.590823,130.417143,300
http://irail.be/stations/NMBS/008895471,Erpe-Mere,,,,,BE00367,FRPM,be,3.962463,50.928601,6.72,300
http://irail.be/stations/NMBS/008811262,Erps-Kwerps,,,,,BE00368,MRP,be,4.585001,50.89651,330.102857,300
http://irail.be/stations/NMBS/008871605,Erquelinnes,,,,,BE00369,LQ,be,4.113562,50.304192,30.525714,300
http://irail.be/stations/NMBS/008879004,Erquelinnes-Frontière,,,,,,,be,4.10792900,50.3023300,25.868571,120
http://irail.be/stations/NMBS/008871647,Erquelinnes-Village,,,,,BE00371,LQB,be,4.132314,50.310179,30.525714,300
http://irail.be/stations/NMBS/008842663,Esneux,,,,,BE00375,LSN,be,5.572565,50.530568,62.257143,300
http://irail.be/stations/NMBS/008821402,Essen,,,,,BE00376,FES,be,4.451314,51.462767,75.828571,240
http://irail.be/stations/NMBS/008010184,Essen Hbf,,,,,,,de,6.77611800,51.4295200,0,
http://irail.be/stations/NMBS/008829009,Essen-Grens,,,,,,,be,4.44893000,51.4690900,51.297143,120
http://irail.be/stations/NMBS/008812260,Essene-Lombeek,,,,,BE00378,FKS,be,4.115171,50.882451,53.451429,300
http://irail.be/stations/NMBS/008200120,Ettelbréck,Ettelbruck,Ettelbruck,Ettelbrück,,,,lu,6.104169,49.847496,0.114286,300
http://irail.be/stations/NMBS/008811411,Etterbeek,,,,,BE00380,MTB,be,4.389513,50.822187,268.44,300
http://irail.be/stations/NMBS/008844628,Eupen,,,,,BE00382,REP,be,6.03711,50.635157,32.697143,300
http://irail.be/stations/NMBS/008811106,Evere,,,,,BE00383,GEV,be,4.400965,50.86778,156.28,300
http://irail.be/stations/NMBS/008893252,Evergem,,,,,BE01843,FMV,be,3.70138,51.107585,32.245714,300
http://irail.be/stations/NMBS/008833449,Ezemaal,,,,,BE00384,FZE,be,4.994217,50.772126,127.737143,300
http://irail.be/stations/NMBS/008883238,Familleureux,,,,,BE00391,FFM,be,4.211581,50.519358,59.44,300
http://irail.be/stations/NMBS/008874567,Farciennes,,,,,BE00392,FFC,be,4.55265000,50.4291480,107.022857,300
http://irail.be/stations/NMBS/008872611,Faux,,,,,BE00395,MFX,be,4.54926,50.621826,32.674286,300
http://irail.be/stations/NMBS/008841467,Fexhe-le-Haut-Clocher,,,,,BE00399,FXH,be,5.398453,50.664049,63.428571,300
