URI,parent_stop,longitude,latitude,name,alternative-nl,alternative-fr,alternative-de,alternative-en,platform
http://irail.be/stations/NMBS/008871308#3,http://irail.be/stations/NMBS/008871308,4.38412000,50.5058600,Luttre platform 3,Luttre perron 3,Luttre voie 3,Luttre gleiss 3,Luttre platform 3,3
http://irail.be/stations/NMBS/008871308#4,http://irail.be/stations/NMBS/008871308,4.38412000,50.5058600,Luttre platform 4,Luttre perron 4,Luttre voie 4,Luttre gleiss 4,Luttre platform 4,4
http://irail.be/stations/NMBS/008871308#5,http://irail.be/stations/NMBS/008871308,4.38412000,50.5058600,Luttre platform 5,Luttre perron 5,Luttre voie 5,Luttre gleiss 5,Luttre platform 5,5
http://irail.be/stations/NMBS/008886041#1,http://irail.be/stations/NMBS/008886041,3.80011700,50.6143530,Maffle platform 1,Maffle perron 1,Maffle voie 1,Maffle gleiss 1,Maffle platform 1,1
http://irail.be/stations/NMBS/008886041#2,http://irail.be/stations/NMBS/008886041,3.80011700,50.6143530,Maffle platform 2,Maffle perron 2,Maffle voie 2,Maffle gleiss 2,Maffle platform 2,2
http://irail.be/stations/NMBS/008822137#1,http://irail.be/stations/NMBS/008822137,4.22911000,51.0144890,Malderen platform 1,Malderen perron 1,Malderen voie 1,Malderen gleiss 1,Malderen platform 1,1
http://irail.be/stations/NMBS/008822137#2,http://irail.be/stations/NMBS/008822137,4.22911000,51.0144890,Malderen platform 2,Malderen perron 2,Malderen voie 2,Malderen gleiss 2,Malderen platform 2,2
http://irail.be/stations/NMBS/008822004#1,http://irail.be/stations/NMBS/008822004,4.48278500,51.0176500,Mechelen platform 1,Mechelen perron 1,Malines voie 1,Mechelen gleiss 1,Mechelen platform 1,1
http://irail.be/stations/NMBS/008822004#10,http://irail.be/stations/NMBS/008822004,4.48278500,51.0176500,Mechelen platform 10,Mechelen perron 10,Malines voie 10,Mechelen gleiss 10,Mechelen platform 10,10
http://irail.be/stations/NMBS/008822004#2,http://irail.be/stations/NMBS/008822004,4.48278500,51.0176500,Mechelen platform 2,Mechelen perron 2,Malines voie 2,Mechelen gleiss 2,Mechelen platform 2,2
http://irail.be/stations/NMBS/008822004#3,http://irail.be/stations/NMBS/008822004,4.48278500,51.0176500,Mechelen platform 3,Mechelen perron 3,Malines voie 3,Mechelen gleiss 3,Mechelen platform 3,3
http://irail.be/stations/NMBS/008822004#4,http://irail.be/stations/NMBS/008822004,4.48278500,51.0176500,Mechelen platform 4,Mechelen perron 4,Malines voie 4,Mechelen gleiss 4,Mechelen platform 4,4
http://irail.be/stations/NMBS/008822004#5,http://irail.be/stations/NMBS/008822004,4.48278500,51.0176500,Mechelen platform 5,Mechelen perron 5,Malines voie 5,Mechelen gleiss 5,Mechelen platform 5,5
http://irail.be/stations/NMBS/008822004#6,http://irail.be/stations/NMBS/008822004,4.48278500,51.0176500,Mechelen platform 6,Mechelen perron 6,Malines voie 6,Mechelen gleiss 6,Mechelen platform 6,6
http://irail.be/stations/NMBS/008822004#7,http://irail.be/stations/NMBS/008822004,4.48278500,51.0176500,Mechelen platform 7,Mechelen perron 7,Malines voie 7,Mechelen gleiss 7,Mechelen platform 7,7
http://irail.be/stations/NMBS/008822004#8,http://irail.be/stations/NMBS/008822004,4.48278500,51.0176500,Mechelen platform 8,Mechelen perron 8,Malines voie 8,Mechelen gleiss 8,Mechelen platform 8,8
http://irail.be/stations/NMBS/008822004#9,http://irail.be/stations/NMBS/008822004,4.48278500,51.0176500,Mechelen platform 9,Mechelen perron 9,Malines voie 9,Mechelen gleiss 9,Mechelen platform 9,9
http://irail.be/stations/NMBS/008822343#1,http://irail.be/stations/NMBS/008822343,4.48991700,51.0298850,Mechelen-Nekkerspoel platform 1,Mechelen-Nekkerspoel perron 1,Malines-Nekkerspoel voie 1,Mechelen-Nekkerspoel gleiss 1,Mechelen-Nekkerspoel platform 1,1
http://irail.be/stations/NMBS/008822343#2,http://irail.be/stations/NMBS/008822343,4.48991700,51.0298850,Mechelen-Nekkerspoel platform 2,Mechelen-Nekkerspoel perron 2,Malines-Nekkerspoel voie 2,Mechelen-Nekkerspoel gleiss 2,Mechelen-Nekkerspoel platform 2,2
http://irail.be/stations/NMBS/008822343#3,http://irail.be/stations/NMBS/008822343,4.48991700,51.0298850,Mechelen-Nekkerspoel platform 3,Mechelen-Nekkerspoel perron 3,Malines-Nekkerspoel voie 3,Mechelen-Nekkerspoel gleiss 3,Mechelen-Nekkerspoel platform 3,3
