URI,name,street,zip,city,ticket_vending_machine,luggage_lockers,free_parking,taxi,bicycle_spots,blue-bike,bus,tram,metro,wheelchair_available,ramp,disabled_parking_spots,elevated_platform,escalator_up,escalator_down,elevator_platform,audio_induction_loop,sales_open_monday,sales_close_monday,sales_open_tuesday,sales_close_tuesday,sales_open_wednesday,sales_close_wednesday,sales_open_thursday,sales_close_thursday,sales_open_friday,sales_close_friday,sales_open_saturday,sales_close_saturday,sales_open_sunday,sales_close_sunday
http://irail.be/stations/NMBS/008814258,Braine-l'Alleud,Place De La Gare 1,1420,Braine L'Alleud,1,0,1,0,1,0,1,0,0,0,1,7,1,0,0,0,1,05:45,20:00,05:45,20:00,05:45,20:00,05:45,20:00,05:45,20:00,06:00,20:30,08:00,15:15
http://irail.be/stations/NMBS/008883006,Braine-le-Comte,Place Rene Branquart,7090,Braine-Le-Comte,1,0,1,0,1,0,1,0,0,0,1,2,0,1,0,0,1,05:45,20:00,05:45,20:00,05:45,20:00,05:45,20:00,05:45,20:00,06:00,20:30,06:15,13:30
http://irail.be/stations/NMBS/008400131,Breda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008843901,Bressoux,Rue De La LÈche 33,4020,Liege (bressoux),1,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008886066,Brugelette,Avenue Gabrielle Petit,7940,Brugelette,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008891009,Brugge,Stationsplein 5,8000,Brugge,1,1,1,1,1,1,1,0,0,1,1,4,1,1,1,1,1,05:45,21:30,05:45,21:30,05:45,21:30,05:45,21:30,05:45,21:30,06:00,21:30,06:00,21:30
http://irail.be/stations/NMBS/008891033,Brugge-Sint-Pieters,Sint-Pietersstatiedreef,8000,Brugge,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008813003,Brussel-Centraal/Bruxelles-Central,Europakruispunt 2,1000,Brussel,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,06:15,22:00,06:15,22:00,06:15,22:00,06:15,22:00,06:15,22:00,06:15,22:00,06:15,22:00
http://irail.be/stations/NMBS/008813045,Brussel-Congres/Bruxelles-Congrès,Pachecolaan 25,1000,Brussel,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008813037,Brussel-Kapellekerk/Bruxelles-Chapelle,Ursulinestraat,1000,Brussel,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008811304,Brussel-Luxemburg/Bruxelles-Luxembourg,Trierstraat,1050,Brussel,1,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,1,06:15,20:00,06:15,20:00,06:15,20:00,06:15,20:00,06:15,20:00,06:15,20:30,06:15,20:30
http://irail.be/stations/NMBS/008812005,Brussel-Noord/Bruxelles-Nord,Vooruitgangstraat 76,1030,Brussel,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,06:15,22:00,06:15,22:00,06:15,22:00,06:15,22:00,06:15,22:00,06:15,22:00,06:15,22:00
http://irail.be/stations/NMBS/008811916,Brussel-Schuman/Bruxelles-Schuman,Wetstraat,1040,Brussel,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,06:15,20:00,06:15,20:00,06:15,20:00,06:15,20:00,06:15,20:00,,,,
http://irail.be/stations/NMBS/008815040,Brussel-West/Bruxelles-Ouest,Ninoofsesteenweg,1080,Sint-Jans-Molenbeek,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008814001,Brussel-Zuid/Bruxelles-Midi,Fonsnylaan 47b,1060,Brussel,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,06:15,22:00,06:15,22:00,06:15,22:00,06:15,22:00,06:15,22:00,06:15,22:00,06:15,22:00
http://irail.be/stations/NMBS/008819406,Brussels Airport - Zaventem,Luchthaven-Brussel-Nationaal,1930,Zaventem,1,0,0,1,0,0,1,0,0,1,1,2,1,1,1,1,1,06:15,22:45,06:15,22:45,06:15,22:45,06:15,22:45,06:15,22:45,06:15,22:45,06:15,22:45
http://irail.be/stations/NMBS/008811148,Buda,Diegemstraat,1800,Vilvoorde,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,
