URI,name,nmbs_short_name,average_weekday_embarkments,average_saturday_embarkments,average_sunday_embarkments
http://irail.be/stations/NMBS/008844503,Welkenraedt,,,,
http://irail.be/stations/NMBS/008895851,Welle,,,,
http://irail.be/stations/NMBS/008896396,Wervik,,,,
http://irail.be/stations/NMBS/008822525,WespelaarTildonk,,,,
http://irail.be/stations/NMBS/008893559,Wetteren,,,,
http://irail.be/stations/NMBS/008896370,Wevelgem,,,,
http://irail.be/stations/NMBS/008833233,Wezemaal,,,,
http://irail.be/stations/NMBS/008893534,Wichelen,,,,
http://irail.be/stations/NMBS/008101003,Wien Hbf,,,,Vienna Main Station
http://irail.be/stations/NMBS/008833175,Wijgmaal,,,,
http://irail.be/stations/NMBS/008821436,Wildert,,,,
http://irail.be/stations/NMBS/008822608,Willebroek,,,,
http://irail.be/stations/NMBS/008200132,Wilwerwiltz,,,,
http://irail.be/stations/NMBS/008821709,Wolfstee,,,,
http://irail.be/stations/NMBS/008893211,Wondelgem,,,,
http://irail.be/stations/NMBS/008847258,Y.renory,,,,
http://irail.be/stations/NMBS/008873239,YvesGomezée,,,,
http://irail.be/stations/NMBS/008863545,Yvoir,,,,
http://irail.be/stations/NMBS/008895737,Zandbergen,,,,
http://irail.be/stations/NMBS/008811221,Zaventem,,,,
http://irail.be/stations/NMBS/008891264,Zedelgem,,,,
http://irail.be/stations/NMBS/008891553,ZeebruggeDorp,,,,
http://irail.be/stations/NMBS/008891173,ZeebruggeStrand,,,,
http://irail.be/stations/NMBS/008894235,Zele,,,,
http://irail.be/stations/NMBS/008812062,Zellik,,,,
http://irail.be/stations/NMBS/008833274,Zichem,,,,
http://irail.be/stations/NMBS/008892635,Zingem,,,,
http://irail.be/stations/NMBS/008832250,Zolder,,,,
http://irail.be/stations/NMBS/008832334,Zonhoven,,,,
http://irail.be/stations/NMBS/008895208,Zottegem,,,,
http://irail.be/stations/NMBS/008891611,Zwankendamme,,,,
http://irail.be/stations/NMBS/008894821,Zwijndrecht,,,,
http://irail.be/stations/NMBS/000000252,ZwijndrechtDorp,,,,
http://irail.be/stations/NMBS/008883212,Écaussinnes,,,,
